name,pubchem_cid,UMAP1,UMAP2,pubchem_cid_clean,name_clean,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
gliclazide,931837,6.725038,1.9314775,931837,gliclazide,True,3.0,1.0,2.0,True,3 rings
cim-0216,25331887,7.888967,4.2181606,25331887,cim-0216,True,4.0,3.0,1.0,True,4+ rings
desloratadine,124087,5.9736266,6.9094334,124087,desloratadine,True,4.0,2.0,2.0,True,4+ rings
epacadostat,135564890,6.4405756,3.7994642,135564890,epacadostat,True,2.0,2.0,0.0,True,2 rings
mecamylamine,46912050,-0.9273737,6.6133556,46912050,mecamylamine,True,2.0,0.0,2.0,True,2 rings
y-11,427018,-1.2928665,6.543363,427018,y-11,True,4.0,0.0,4.0,True,4+ rings
darusentan,177236,8.179708,7.376764,177236,darusentan,True,3.0,3.0,0.0,True,3 rings
vby-825,70945511,7.3911347,2.3784404,70945511,vby-825,True,3.0,1.0,2.0,True,3 rings
btz043-racemate,42609849,6.657689,3.1013434,42609849,btz043-racemate,True,4.0,2.0,2.0,True,4+ rings
tenalisib,86291103,8.233815,7.6430693,86291103,tenalisib,True,5.0,5.0,0.0,True,4+ rings
cefiderocol,46195832,5.02724,7.6015177,46195832,cefiderocol,True,5.0,2.0,3.0,True,4+ rings
moracizine,34633,6.2118826,3.448231,34633,moracizine,True,4.0,2.0,2.0,True,4+ rings
selexipag,9913767,6.3491507,7.6646323,9913767,selexipag,True,3.0,3.0,0.0,True,3 rings
cyclopentolate,6604325,7.7102513,1.5902671,6604325,cyclopentolate,True,2.0,1.0,1.0,True,2 rings
actarit,2018,7.7470336,3.3356478,2018,actarit,True,1.0,1.0,0.0,True,1 ring
talnetant,5311424,7.2243304,6.4702535,5311424,talnetant,True,4.0,4.0,0.0,True,4+ rings
gentiopicrin,88708,-2.7791378,6.169128,88708,gentiopicrin,True,3.0,0.0,3.0,True,3 rings
diminazene-aceturate,2354,6.525558,3.5433877,2354,diminazene-aceturate,True,2.0,2.0,0.0,True,2 rings
sc-560,4306515,8.028169,6.529339,4306515,sc-560,True,3.0,3.0,0.0,True,3 rings
d-serine,71077,-1.583773,7.0098495,71077,d-serine,True,0.0,0.0,0.0,False,0 rings
add-233089,54155633,6.5299015,3.6485069,54155633,add-233089,True,3.0,2.0,1.0,True,3 rings
ni-57,91827373,9.004954,3.289236,91827373,ni-57,True,3.0,3.0,0.0,True,3 rings
