murcko_scaffold,n_compounds
O=C(COc1ccccc1)NC(CCC(Cc1ccccc1)NC(=O)CN1CCCNC1=O)Cc1ccccc1,1
O=C(NC(CCN1CCC2CCCCC2C1)CSc1ccccc1)c1ccccc1,1
O=C(NC1C(=O)N2CCSC12)c1conc1-c1ccccc1,1
O=C(NC1CC2CCC(C1)N2c1ccc(C(=O)C2CC2)cn1)c1ccccc1,1
O=C(NC1CCCCC1)C(Nc1ccccc1)c1cccnc1,1
O=C(NC1CCNCC1)c1cc(-c2ccccc2)c2c(c1)[nH]c1ncccc12,1
O=C(NC1Cc2nc(cs2)-c2ccc3[nH]c(-c4cncc(N5CCNCC5)c4)c(c3c2)CCCOC(=O)C2CCCN(N2)C1=O)C1CC1,1
O=C(NCC1CC1)c1cc(-c2cnn3cc(-c4ccccc4)cnc23)cs1,1
O=C(NCC1CNC2Cc3c[nH]c4cccc(c34)C2C1)OCc1ccccc1,1
O=C(NCCCNc1ccnc(Nc2cccc(NC(=O)N3CCCC3)c2)n1)c1cccs1,1
O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2c1,1
O=C(NCCOc1ccccc1)c1cc2ccccc2o1,1
O=C(NCCc1ccccc1)c1cc(-c2ccn[nH]2)cs1,1
O=C(CNC(=O)c1ccccc1)NCB1OCC(=O)O1,1
O=C(CNC(=O)NCc1cscn1)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1,1
