compound_1,compound_2,pubchem_cid_1,pubchem_cid_2,morgan_tanimoto,maccs_tanimoto,cactvs_pubchem_tanimoto
isosorbide-dinitrate,taselisib,6883.0,51001932.0,0.05,0.3076923076923077,0.11836734693877551
isosorbide-dinitrate,spautin-1,6883.0,51037431.0,0.0,0.125,0.07222222222222222
isosorbide-dinitrate,balapiravir,6883.0,53297462.0,0.05263157894736842,0.4230769230769231,0.3113207547169811
isosorbide-dinitrate,kg-5,6883.0,53328059.0,0.012987012987012988,0.21518987341772153,0.10909090909090909
isosorbide-dinitrate,pf-04995274,6883.0,53354764.0,0.06578947368421052,0.4647887323943662,0.1919191919191919
isosorbide-dinitrate,gsk2656157,6883.0,53469059.0,0.024691358024691357,0.19753086419753085,0.09389671361502347
isosorbide-dinitrate,tenoxicam,6883.0,54677971.0,0.015151515151515152,0.3103448275862069,0.10891089108910891
isosorbide-dinitrate,olmutinib,6883.0,54758501.0,0.05,0.2804878048780488,0.10822510822510822
isosorbide-dinitrate,azd5069,6883.0,56645576.0,0.036585365853658534,0.29292929292929293,0.14358974358974358
isosorbide-dinitrate,lx7101,6883.0,56962369.0,0.04878048780487805,0.28735632183908044,0.10434782608695652
isosorbide-dinitrate,bms-833923,6883.0,57662985.0,0.013157894736842105,0.13513513513513514,0.07804878048780488
isosorbide-dinitrate,presatovir,6883.0,58029842.0,0.03333333333333333,0.24242424242424243,0.08677685950413223
isosorbide-dinitrate,carmustine,6883.0,59087767.0,0.044444444444444446,0.29411764705882354,0.18181818181818182
isosorbide-dinitrate,molidustat,6883.0,59603622.0,0.046875,0.3246753246753247,0.13580246913580246
isosorbide-dinitrate,ml323,6883.0,60167849.0,0.0,0.19718309859154928,0.07692307692307693
isosorbide-dinitrate,ibiglustat,6883.0,60199242.0,0.10294117647058823,0.2716049382716049,0.1366120218579235
isosorbide-dinitrate,tc-lpa5-4,6883.0,66552906.0,0.05714285714285714,0.2916666666666667,0.11261261261261261
isosorbide-dinitrate,bi-224436,6883.0,66561902.0,0.05063291139240506,0.3076923076923077,0.12719298245614036
isosorbide-dinitrate,pf-06273340,6883.0,66571548.0,0.023529411764705882,0.26506024096385544,0.09322033898305085
isosorbide-dinitrate,butofilolol,6883.0,66593644.0,0.03125,0.22666666666666666,0.17197452229299362
isosorbide-dinitrate,ly404187,6883.0,66857735.0,0.01818181818181818,0.17567567567567569,0.12
isosorbide-dinitrate,brigatinib,6883.0,68165256.0,0.04819277108433735,0.23863636363636365,0.1036036036036036
isosorbide-dinitrate,t-807,6883.0,71059746.0,0.0,0.15789473684210525,0.08241758241758242
isosorbide-dinitrate,azithromycin,6883.0,71206984.0,0.052083333333333336,0.2894736842105263,0.3119266055045872
isosorbide-dinitrate,az7550,6883.0,71496459.0,0.03333333333333333,0.25,0.10330578512396695
isosorbide-dinitrate,lmk-235,6883.0,71520717.0,0.05555555555555555,0.3230769230769231,0.20168067226890757
isosorbide-dinitrate,firsocostat,6883.0,71528744.0,0.07777777777777778,0.35714285714285715,0.1346938775510204
isosorbide-dinitrate,xmd17-109,6883.0,71604307.0,0.0425531914893617,0.29069767441860467,0.104
isosorbide-dinitrate,siremadlin,6883.0,71678098.0,0.03614457831325301,0.2948717948717949,0.11403508771929824
isosorbide-dinitrate,pfk-158,6883.0,71730058.0,0.016666666666666666,0.17857142857142858,0.09340659340659341
isosorbide-dinitrate,sgc-cbp30,6883.0,72201027.0,0.04878048780487805,0.379746835443038,0.12062256809338522
isosorbide-dinitrate,tgr-1202,6883.0,72950888.0,0.03409090909090909,0.32,0.11382113821138211
isosorbide-dinitrate,desidustat,6883.0,75593290.0,0.0625,0.39473684210526316,0.15527950310559005
isosorbide-dinitrate,mifobate,6883.0,76958126.0,0.041666666666666664,0.2777777777777778,0.1826086956521739
isosorbide-dinitrate,floctafenine,6883.0,76958517.0,0.04225352112676056,0.3,0.14354066985645933
