source,signature_id,signature_compound_query,signature_brd_primary,signature_compound_query_norm
L1000,L1000::JNJ-7706621::XC.P904::::24H::10uM::ASG003::L22::BRD-K11636097,JNJ-7706621,brd-k11636097,jnj-7706621
L1000,L1000::dasatinib::XC.P904::::24H::0.12uM::ASG003::N03::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::ponatinib::XC.P904::::24H::10uM::ASG003::P13::BRD-K44227013,ponatinib,brd-k44227013,ponatinib
L1000,L1000::amlodipine::XC.P904::::24H::10uM::ASG003::G04::BRD-A22032524,amlodipine,brd-a22032524,amlodipine
L1000,L1000::selumetinib::XC.P904::::24H::10uM::ASG003::E04::BRD-K57080016,selumetinib,brd-k57080016,selumetinib
L1000,L1000::alvocidib::XC.P904::::24H::10uM::ASG003::J19::BRD-K87909389,alvocidib,brd-k87909389,alvocidib
L1000,L1000::ABT-737::XC.P904::::24H::10uM::ASG003::L01::BRD-K56301217,ABT-737,brd-k56301217,abt-737
L1000,L1000::BI-2536::XC.P904::::24H::0.12uM::ASG003::D06::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::panobinostat::XC.P904::::24H::10uM::ASG003::P01::BRD-K02130563,panobinostat,brd-k02130563,panobinostat
L1000,L1000::BI-2536::XC.P904::::24H::1.11uM::ASG003::D05::BRD-K64890080,BI-2536,brd-k64890080,bi-2536
L1000,L1000::trametinib::XC.P904::::24H::1.11uM::ASG003::N17::BRD-K12343256,trametinib,brd-k12343256,trametinib
L1000,L1000::JNJ-7706621::XC.P904::::24H::1.11uM::ASG003::L23::BRD-K11636097,JNJ-7706621,brd-k11636097,jnj-7706621
L1000,L1000::edaravone::OCILY3::::24H::0.01uM::EMU001::D24::BRD-K35458079,edaravone,brd-k35458079,edaravone
L1000,L1000::vorinostat::OCILY3::::24H::10uM::EMU001::O01::BRD-K81418486,vorinostat,brd-k81418486,vorinostat
L1000,L1000::BRD-K98039984::OCILY3::::24H::2.5uM::EMU001::K02::BRD-K98039984,BRD-K98039984,brd-k98039984,brd-k98039984
L1000,L1000::GDC-0199::OCILY3::::24H::10uM::EMU001::N19::BRD-K62391742,GDC-0199,brd-k62391742,gdc-0199
L1000,L1000::I-BET-762::OCILY3::::24H::2.5uM::EMU001::K20::BRD-K08109215,I-BET-762,brd-k08109215,i-bet-762
L1000,L1000::dasatinib::OCILY3::::24H::10uM::EMU001::I19::BRD-K49328571,dasatinib,brd-k49328571,dasatinib
L1000,L1000::LCB-03-0110::OCILY3::::24H::10uM::EMU001::O13::BRD-K11357827,LCB-03-0110,brd-k11357827,lcb-03-0110
L1000,L1000::BRD-K98039984::OCILY3::::24H::0.66uM::EMU001::K03::BRD-K98039984,BRD-K98039984,brd-k98039984,brd-k98039984
L1000,L1000::PF-06465469::OCILY3::::24H::10uM::EMU001::N07::BRD-K77503770,PF-06465469,brd-k77503770,pf-06465469
