compound_embedding_row_index,compound_name,n_profiles,source_normalized_inverted_score
3904,Cobimetinib,231,0.9322075364630388
1996,N-[4-(9-acridinylmethyl)-3-methoxyphenyl]methanesulfonamide; amsacrine,233,0.9100605967132264
412,Acyclic retinoid; Peretinoin,142,0.6419530075592457
5466,"Oxaliplatin; cis-oxalato-trans-l-1,2-diaminocyclohexaneplatinum(II)",148,0.7163491685527494
5201,Noradrenaline hydrochloride; Norepinephrine (hydrochloride),144,0.6393843979720855
771,Ivermectin; Ivermectin B1a,175,0.8544614526763018
5166,Loperamide (hydrochloride); Loperamide Hydrochloride,176,0.8073831887953028
2091,AZD-8055; Azd8055,346,0.955689815717982
5511,Lactate (calcium),140,0.6209699472258055
5138,Sivelestat (sodium tetrahydrate); Sivelestat Sodium,140,0.619920302502548
804,Budesonide; budesonide,177,0.7791731257771117
2960,Raltitrexed,187,0.8867600208174877
629,Aprepitant,147,0.6543448425379295
1055,"N-[2-(diethylamino)ethyl]-5-[(Z)-(5-fluoro-2-oxo-1H-indol-3-ylidene)methyl]-2,4-dimethyl-1H-pyrrole-3-carboxamide; Sunitinib",207,0.883454883825221
592,BRD-K68202742; Trichostatin A,1346,1.0
1764,Homoharringtonine; Omacetaxine Mepesuccinate,363,0.9673914598895887
429,Ixazomib,343,0.9357006494637874
692,Triamcinolone,190,0.7715345520968447
5179,BI-3406,143,0.5914496745210536
5196,Fedratinib (hydrochloride hydrate); Fedratinib Hydrochloride,157,0.8293292838402175
1229,Dapagliflozin,144,0.666366220549563
4302,cyclosporin-a,248,0.8455638657203595
2769,Canagliflozin,146,0.8854527686591251
257,"Auranofin; Gold(1+);3,4,5-triacetyloxy-6-(acetyloxymethyl)oxane-2-thiolate;triethylphosphane",205,0.7991968137716317
734,Digitoxin,260,0.8677765217566387
5170,Rucaparib (phosphate); Rucaparib Phosphate,194,0.919889104233618
1364,Dinaciclib,377,0.938252225254567
1420,(E)-N-[4-(3-chloro-4-fluoroanilino)-7-[(3S)-oxolan-3-yl]oxyquinazolin-6-yl]-4-(dimethylamino)but-2-enamide; Afatinib,352,0.9044579155808994
1916,"[(1S,2R,4S)-4-[(2R)-2-[(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32R,35R)-1,18-dihydroxy-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-2,3,10,14,20-pentaoxo-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraen-12-yl]propyl]-2-methoxycyclohexyl] 3-hydroxy-2-(hydroxymethyl)-2-methylpropanoate; temsirolimus",232,0.8723074748004331
1823,Mithramycin; Plicamycin,138,0.7757968224880114
3484,Gemcitabine,360,0.9355424724762328
6642,XL-888; XL888,181,0.9929397776513676
3661,"4-(2,6-dichlorobenzoylamino)-1H-pyrazole-3-carboxylic acid piperidin-4-ylamide; AT7519",323,0.8961087032517681
3578,(E)-N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide; Belinostat,400,0.927808609462776
1832,"1,18-Dihydroxy-12-[1-[4-(2-hydroxyethoxy)-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone; Everolimus; everolimus",334,0.9086687524281016
2431,"3-[(1R,3R,5S,8R,9S,10R,11R,13R,14S,17R)-1,5,11,14-tetrahydroxy-10-(hydroxymethyl)-13-methyl-3-[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy-2,3,4,6,7,8,9,11,12,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]-2H-furan-5-one; ouabain",79,0.9888269389727592
2278,"(7R,9S)-9-acetyl-7-[[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyl-2-oxanyl]oxy]-6,9,11-trihydroxy-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione; daunorubicin",325,0.9936753681671956
1827,Geldanamycin; geldanamycin,938,0.9876737020591848
3968,"(5Z)-5-[(4-pyridin-4-ylquinolin-6-yl)methylidene]-1,3-thiazolidine-2,4-dione; Gsk-1059615",491,0.9153796701789212
4527,topotecan,151,0.9881312346751584
132,"Tanespimycin; [(4E,6Z,8S,9S,10E,12S,13R,14S,16R)-13-hydroxy-8,14-dimethoxy-4,10,12,16-tetramethyl-3,20,22-trioxo-19-(prop-2-enylamino)-2-azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaen-9-yl] carbamate",645,0.9956927939258136
2275,Epirubicin; epirubicin,194,0.9837162505923074
3589,"(Z)-3-[3-[3,5-bis(trifluoromethyl)phenyl]-1,2,4-triazol-1-yl]-N'-pyrazin-2-ylprop-2-enehydrazide; Selinexor",162,0.8488970666541983
1880,Wortmannin from Penicillium funiculosum; wortmannin,682,0.9781579069411
295,Idarubicin; idarubicin,134,0.9757720736121944
4117,2-(4-morpholinyl)-8-phenyl-4H-1-benzopyran-4-one; LY-294002,192,0.9769391684207188
789,Volasertib,299,0.9200675286068608
1919,(E)-6-(4-hydroxy-6-methoxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)-4-methylhex-4-enoic acid; Mycophenolic Acid,140,0.9747944898482642
5028,PD-0325901,536,0.966163881738302
3990,Narciclasine; narciclasine,69,0.9656329558754694
4018,Mitoxantrone; mitoxantrone,1040,0.9699286310577588
724,Tofacitinib,247,0.9060779364414148
706,Withaferin A; withaferin-a,482,0.9645006361940354
5161,Neratinib (maleate); Neratinib Maleate,386,0.8672275153259938
4528,camptothecin,292,0.9619088985330456
4646,emetine,158,0.9651970493102644
5534,Folic Acid; Folic acid,172,0.9191208514023208
3065,Dactolisib; NVP-BEZ235,371,0.9572973800067192
444,MG-132,2842,0.9563591319335716
3482,Entinostat; entinostat,410,0.977210735658462
3637,Pitavastatin Calcium; pitavastatin,65,0.9560450877209852
3737,Niclosamide; niclosamide,107,0.9565416257395402
1671,AZD-2014; Vistusertib,50,0.9549356631645508
2953,PF-03758309; PF-3758309,179,0.9545460173928284
5360,"[(6R,7S,8R)-11-Amino-7-methoxy-12-methyl-10,13-dioxo-2,5-diazatetracyclo[7.4.0.02,7.04,6]trideca-1(9),11-dien-8-yl]methyl carbamate; mitomycin-c",139,0.9544734519524716
4070,2'-Deoxy-alpha-D-ribofuranosyl-5-fluorouracil; floxuridine,197,0.9533737808115224
1112,NVP-AUY922,217,0.9529989845659332
3692,Ro-4987655,67,0.9519396082454084
1956,Lrrk2-IN-1; XMD-1150,120,0.9486555862195034
3007,BRD-K54606188; JQ1 compound,279,0.9483127185063904
267,"[(1S,2S,3S,4S,7S,9S,10S,12R,15S)-4,12-diacetyloxy-15-[(2R,3S)-3-benzamido-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] benzoate; paclitaxel",345,0.9022159005873492
559,Ganetespib; ganetespib,75,0.9470695223525076
424,PHA-793887; Pha-793887,300,0.9468644890358022
3756,"1-(4-(4-(3-Oxa-8-azabicyclo(3.2.1)octan-8-yl)-6-morpholino-1,3,5-triazin-2-yl)phenyl)-3-(pyridin-4-yl)urea; PKI-179",57,0.9464168633167084
24172,Mln4924,250,0.9463625690349882
2171,"(4-Amino-2-(1-methanesulfonylpiperidin-4-ylamino)pyrimidin-5-yl)(2,3-difluoro-6-methoxyphenyl)methanone; R-547",173,0.9432033048926032
4657,SN-38,123,0.9413311033882736
1278,Ascomycin; sirolimus,676,0.9443876559653588
3488,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one; Cytarabine; cytarabine",235,0.9028313446502464
427,Bortezomib,3036,0.9438681382157874
4915,lestaurtinib,104,0.9366465788807232
242,Docetaxel,256,0.8759547648051416
760,Clobetasol Propionate; clobetasol,62,0.936964726076148
1643,"1-(4-(1-(1,4-Dioxaspiro(4.5)decan-8-yl)-4-(8-oxa-3-azabicyclo(3.2.1)octan-3-yl)pyrazolo(3,4-d)pyrimidin-6-yl)phenyl)-3-methylurea; WYE-125132",93,0.9362291689674308
3459,"9-(6-Aminopyridin-3-yl)-1-(3-(trifluoromethyl)phenyl)benzo(h)(1,6)naphthyridin-2(1H)-one; torin-2",98,0.9357499656084424
