compound_embedding_row_index,compound_name,n_profiles,mean_total_error,variance_total_error,raw_error_inverted_score,mean_source_normalized_error_z,source_normalized_inverted_score,predictability_score,source_normalized_predictability_score
1869,4-bromo-2-(4-isopropylphenyl)-7-methoxy-1-(2-methoxyethyl)-5-((2-(methylthio)pyridin-3-yl)methyl)-1H-benzo[d]imidazole; 4-bromo-7-methoxy-1-(2-methoxyethyl)-5-[(2-methylsulfanylpyridin-3-yl)methyl]-2-(4-propan-2-ylphenyl)benzimidazole,4,0.18854901,0.005416861,0.45146231645098867,0.9125142128361068,0.6402653123679494,0.1713853141559425,0.3838001514004542
5850,N-[2-[2-(cyclohexylamino)-4-pyridinyl]-6-piperazin-1-yl-4-pyridinyl]methanesulfonamide; N-[2-[2-(cyclohexylamino)pyridin-4-yl]-6-piperazin-1-ylpyridin-4-yl]methanesulfonamide,1,0.18858902,0.0,0.4513127136333377,0.9130686714980288,0.6401535077615725,0.1712339137017411,0.3836487509462528
6459,"7-But-2-enyl-3-methyl-8-(3-phenylpropylthio)purine-2,6-dione; BRD-K18749194",2,0.1886703,0.00037184302,0.45100879668710747,2.001145563134352,0.42074669363509165,0.1710825132475397,0.1324753974261923
7020,"1-[(2S,3R,6R)-6-[2-[[(2,5-difluoroanilino)-oxomethyl]amino]ethyl]-2-(hydroxymethyl)-3-oxanyl]-3-(4-methoxyphenyl)urea; BRD-K01070670",1,0.18872769,0.0,0.4507942076917316,2.002475835042599,0.4204784490619793,0.1709311127933384,0.1323239969719909
727,3-[(2R)-2-[2-(4-methylpiperidin-1-yl)ethyl]pyrrolidin-1-yl]sulfonylphenol; SB-269970; SB269970,5,0.18872954,0.0022844218,0.45078729029076536,1.6663791338193286,0.4882511469481732,0.170779712339137,0.1887963663890991
903,Lobaric Acid; lobaric-acid,1,0.1887665,0.0,0.4506490918368694,2.0033754317102948,0.42029704861098627,0.1706283118849356,0.1321725965177895
2039,2-Methoxyestradiol; BRD-K44408410,26,0.18878624,0.008532072,0.45057528129899316,-0.1423809185325799,0.8529811431977607,0.1704769114307343,0.8027252081756245
972,Propyl-carbamic acid 4-[(2-methoxy-benzoylamino)-methyl]-4-phenyl-cyclohexyl ester,3,0.18879831,7.961478e-06,0.45053014993160867,0.9159686929604984,0.6395687288044329,0.1703255109765329,0.382891748675246
7140,"2-(2,3-dihydro-1,4-benzoxazin-4-yl)-8-methoxy-N-(phenylmethyl)-4-quinazolinamine; BRD-K00366212",1,0.18884833,0.0,0.4503431183660276,2.005272210770268,0.4199145698966146,0.1701741105223315,0.1320211960635882
5236,Eperezolid; eperezolid,3,0.18885136,0.00046918096,0.4503317887849858,2.005342444676558,0.41990040748057467,0.1700227100681302,0.1318697956093868
2068,Lenvatinib; lenvatinib,6,0.18893357,0.00017306597,0.45002439444259423,2.0072479933166893,0.4195161604117251,0.1698713096139288,0.1317183951551854
3327,2-Hydroxysaclofen; BRD-A27924917,1,0.18893518,0.0,0.4500183744341858,2.0072853509555135,0.41950862737745087,0.1697199091597274,0.1315669947009841
7008,BRD-K32827536; N-(5-chloro-2-methoxyphenyl)-5-cyclopropyl-3-isoxazolecarboxamide,4,0.18894248,0.00047433205,0.4499910787438871,2.0074544454592713,0.419474530075467,0.1695685087055261,0.1314155942467827
6601,"(3S)-3-[[[(2S)-1-[(2S)-2-[[(4-amino-3-chlorophenyl)-oxomethyl]amino]-3,3-dimethyl-1-oxobutyl]-2-pyrrolidinyl]-oxomethyl]amino]-3-cyanopropanoic acid ethyl ester; BRD-K76846644",2,0.18895343,0.00031785152,0.44995013520843896,2.0077082610612105,0.41942334906700596,0.1694171082513247,0.1312641937925813
6620,2-[[2-(4-ethoxyphenyl)-5-methyl-4-oxazolyl]methylthio]-N-(2-furanylmethyl)acetamide; BRD-K92742972,1,0.18900126,0.0,0.4497712923499475,2.00881705277982,0.41919976518209867,0.1692657077971233,0.13111279333838
7104,"3,6-Dimethoxyflavone; BRD-K32480606",1,0.1890024,0.0,0.44976702973529814,2.00884347741783,0.4191944367483411,0.169114307342922,0.1309613928841786
7831,"BRD-K68340318; N-(cyclohexylmethyl)-2-[(2S,5S,6R)-6-(hydroxymethyl)-5-[(1-methyl-4-imidazolyl)sulfonylamino]-2-oxanyl]acetamide",3,0.18900521,0.00019170585,0.44975652276410083,2.0089087663626217,0.4191812714661036,0.1689629068887206,0.1308099924299772
834,BRD-K20152659; Dihomo-Gamma-Linolenic Acid,1,0.18906999,0.0,0.4495143015562171,2.0104101802977468,0.4188785167152923,0.1688115064345192,0.1306585919757759
3343,Amifostine; amifostine,6,0.18916036,0.0023219546,0.4491763958668614,2.0125048737152142,0.4184561292784935,0.1686601059803179,0.1305071915215745
