name,pubchem_cid,smiles,valid_smiles_ring,ring_count,aromatic_ring_count,aliphatic_ring_count,has_ring,ring_category
lsn-2463359,72551298,CC(C)NC(=O)c1ccc(cn1)C#Cc1ccncc1,True,2.0,2.0,0.0,True,2 rings
trofosfamide,9576166,"ClCCN(CCCl)[P@@]1(=O)OCCCN1CCCl |&1:7,r|",True,1.0,0.0,1.0,True,1 ring
bephenium-hydroxynaphthoate,19667,C[N+](C)(CCOc1ccccc1)Cc1ccccc1,True,2.0,2.0,0.0,True,2 rings
remimazolam,9867812,COC(=O)CC[C@@H]1N=C(c2ccccn2)c2cc(Br)ccc2-n2c(C)cnc12 |t:7|,True,4.0,3.0,1.0,True,4+ rings
uprifosbuvir,117885113,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(Cl)[C@@H]1O)Oc1ccccc1,True,3.0,2.0,1.0,True,3 rings
seladelpar,11236126,CCO[C@H](COc1ccc(cc1)C(F)(F)F)CSc1ccc(OCC(O)=O)c(C)c1,True,2.0,2.0,0.0,True,2 rings
captamine,25799,CN(C)CCS,True,0.0,0.0,0.0,False,0 rings
rovazolac,89792952,CCOC(=O)Cn1nc(cc1-c1ccc(cc1)-c1cccc(c1)S(C)(=O)=O)C(F)(F)F,True,3.0,3.0,0.0,True,3 rings
sam-315,10430623,O=S(=O)(c1n[nH]c2ccc(cc12)N1CCNCC1)c1cccc2ccccc12,True,5.0,4.0,1.0,True,4+ rings
ly3295668,121333423,C[C@@H]1C[C@@](Cc2nc(Nc3cc(C)[nH]n3)ccc2F)(CCN1Cc1cccc(Cl)c1F)C(O)=O,True,4.0,3.0,1.0,True,4+ rings
tc-g-1004,25074316,COC1CCN(CC1)c1cccc(n1)-c1cc(NC(C)=O)nc(n1)-n1nc(C)cc1C,True,4.0,3.0,1.0,True,4+ rings
elesclomol,300471,CN(NC(=O)CC(=O)NN(C)C(=S)c1ccccc1)C(=S)c1ccccc1,True,2.0,2.0,0.0,True,2 rings
dacarbazine,135398738,CN(C)\N=N\c1nc[nH]c1C(N)=O,True,1.0,1.0,0.0,True,1 ring
abx-1431,71657619,FC(F)(F)C(OC(=O)N1CCN(Cc2ccc(cc2N2CCCC2)C(F)(F)F)CC1)C(F)(F)F,True,3.0,1.0,2.0,True,3 rings
serdemetan,11609586,C(Cc1c[nH]c2ccccc12)Nc1ccc(Nc2ccncc2)cc1,True,4.0,4.0,0.0,True,4+ rings
"2-hydroxy-4-((e)-3-(4-hydroxyphenyl)acryloyl)-2-((2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2h-pyran-2-yl)-6-((2s,3r,4r,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2h-pyran-2-yl)cyclohexane-1,3,5-trione",,"OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)[C@H]1C(=O)C(=C(O)\C=C\c2ccc(O)cc2)C(=O)[C@@](O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O |a:2,4,5,7,9,30,32,35,37,39,&1:11,&2:14,&3:28|",True,4.0,1.0,3.0,True,4+ rings
daprodustat,24831508,OC(=O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O,True,3.0,1.0,2.0,True,3 rings
ephedrine-(racemic),7028,"CN[C@@H](C)[C@@H](O)c1ccccc1 |&1:2,&2:4|",True,1.0,1.0,0.0,True,1 ring
l-690330,132449,CC(Oc1ccc(O)cc1)(P(O)(O)=O)P(O)(O)=O,True,1.0,1.0,0.0,True,1 ring
bmy-7378,2419,COc1ccccc1N1CCN(CCN2C(=O)CC3(CCCC3)CC2=O)CC1,True,4.0,1.0,3.0,True,4+ rings
osilodrostat,44139752,Fc1cc(ccc1[C@H]1CCc2cncn12)C#N,True,3.0,2.0,1.0,True,3 rings
tolazoline,5504,C(C1=NCCN1)c1ccccc1 |t:1|,True,2.0,1.0,1.0,True,2 rings
prt4165,207893,O=C1C(=Cc2cccnc2)C(=O)c2ccccc12,True,3.0,2.0,1.0,True,3 rings
pf-06650833,118414016,CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@H]1F,True,3.0,2.0,1.0,True,3 rings
indirubin-3-monoxime,,O\N=C1\C(\Nc2ccccc\12)=C1\C(=O)Nc2ccccc12,True,4.0,2.0,2.0,True,4+ rings
gpp-78,44819697,O=C(CCCCCCCn1cc(nn1)-c1cccnc1)Nc1ccccc1-c1ccccc1,True,4.0,4.0,0.0,True,4+ rings
azd3264,91666658,Cc1noc(C)c1-c1ccc(-c2cc(C(N)=O)c(NC(N)=O)s2)c(O[C@H]2CCNC2)c1,True,4.0,3.0,1.0,True,4+ rings
it1t,25147749,"CC1(C)CN2C(CS\C(NC3CCCCC3)=N\C3CCCCC3)=CSC2=N1 |c:24,28|",True,4.0,0.0,4.0,True,4+ rings
pentacosanoic-acid,10468,CCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,True,0.0,0.0,0.0,False,0 rings
sulfameter,5326,COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,True,2.0,2.0,0.0,True,2 rings
l-aspartic-acid,5960,N[C@@H](CC(O)=O)C(O)=O,True,0.0,0.0,0.0,False,0 rings
haloperidol-decanoate,52919,CCCCCCCCCC(=O)OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,True,3.0,2.0,1.0,True,3 rings
beclabuvir,56934415,COc1ccc2-c3c(C4CCCCC4)c4ccc(cc4n3C[C@]3(C[C@H]3c2c1)C(=O)N1[C@H]2CC[C@@H]1CN(C)C2)C(=O)NS(=O)(=O)N(C)C |THB:27:29:31.32:34.35.37|,False,,,,,Invalid/missing SMILES
