name,pubchem_cid,smiles,valid_smiles,has_metal,metal_count,metal_symbols,metal_category
acrivastine,5284514,Cc1ccc(cc1)C(=C/CN1CCCC1)\c1cccc(\C=C\C(O)=O)n1,True,False,0,,No metal
gsk1070916,46885626,CCn1cc(c(n1)-c1ccc(NC(=O)N(C)C)cc1)-c1ccnc2[nH]c(cc12)-c1cccc(CN(C)C)c1,True,False,0,,No metal
zolmitriptan,60857,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,True,False,0,,No metal
"2,4-dinitrochlorobenzene",6,[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O,True,False,0,,No metal
astragaloside-a,13943299,CC(C)(O)[C@H]1CC[C@](C)(O1)[C@H]1[C@@H](O)C[C@@]2(C)[C@@H]3C[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]4[C@]5(C[C@@]35CC[C@]12C)CC[C@H](O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O)C4(C)C,True,False,0,,No metal
chir-98014,53396311,Nc1nc(NCCNc2ncc(c(n2)-c2ccc(Cl)cc2Cl)-n2ccnc2)ccc1[N+]([O-])=O,True,False,0,,No metal
dizocilpine-(+),180081,C[C@]12N[C@H](Cc3ccccc13)c1ccccc21,True,False,0,,No metal
amineptine,38988248,OC(=O)CCCCCCNC1c2ccccc2CCc2ccccc12,True,False,0,,No metal
lb42708,10099206,Brc1ccc(Cn2cncc2Cn2cc(C(=O)N3CCOCC3)c(c2)-c2cccc3ccccc23)cc1,True,False,0,,No metal
p-dimethylinamyl-benzoate,26890,CCCCCOC(=O)c1ccc(cc1)N(C)C,True,False,0,,No metal
tc2559,9823180,CCOc1cncc(\C=C\CCNC)c1,True,False,0,,No metal
anisindione,2197,COc1ccc(cc1)C1C(=O)c2ccccc2C1=O,True,False,0,,No metal
dmh1,50997747,CC(C)Oc1ccc(cc1)-c1cnc2c(cnn2c1)-c1ccnc2ccccc12,True,False,0,,No metal
butabindide,9817923,CCCCNC(=O)[C@@H]1Cc2ccccc2N1C(=O)[C@@H](N)CC,True,False,0,,No metal
way-100635,5684,COc1ccccc1N1CCN(CCN(C(=O)C2CCCCC2)c2ccccn2)CC1,True,False,0,,No metal
